City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,bikenibeu village,1.3673,173.1241,28.58,70,99,1.15,KI,1702352563
331,yarmouth,41.7057,-70.2286,5.08,73,0,13.41,US,1702352563
332,mikhaylov,54.2292,39.0186,-5.76,94,100,8.32,RU,1702352563
333,los andes,-32.8337,-70.5983,17.23,56,0,0.33,CL,1702352563
334,sungjibaegam,41.2428,128.7989,-5.32,62,45,2.31,KP,1702352564
335,praia,14.9215,-23.5087,22.3,83,52,5.14,CV,1702352564
336,castillos,-34.1667,-53.8333,17.9,94,99,3.84,UY,1702352564
337,barbezieux-saint-hilaire,45.4726,-0.1522,13.15,90,100,3.7,FR,1702352564
338,saint-pierre,-21.3393,55.4781,26.98,69,20,6.17,RE,1702352564
339,yung shue wan,22.2333,114.1167,28.68,69,3,1.85,HK,1702352564
340,hotan,37.0997,79.9269,6.13,20,100,1.71,CN,1702352564
341,iuna,-20.3458,-41.5358,19.41,99,99,1.44,BR,1702352565
342,naze,28.3667,129.4833,20.51,80,96,7.81,JP,1702352565
343,remire-montjoly,4.9167,-52.2667,25.02,94,20,0.0,GF,1702352565
344,prince rupert,54.3161,-130.3201,3.83,81,0,10.8,CA,1702352565
345,pirane,-25.7324,-59.1088,22.24,85,12,2.4,AR,1702352565
346,charlottetown,46.2352,-63.1267,5.31,85,100,10.29,CA,1702352223
347,sorong,-0.8833,131.25,29.04,72,81,2.33,ID,1702352566
348,chunskiy,56.0815,99.6342,-32.96,100,62,0.37,RU,1702352566
349,hetauda,27.4284,85.0322,17.64,41,1,1.16,NP,1702352566
350,hilo,19.7297,-155.09,24.03,94,75,2.57,US,1702352362
351,nhamunda,-2.1861,-56.7131,23.95,97,100,0.87,BR,1702352566
352,ola,59.5833,151.2833,-6.3,93,100,6.41,RU,1702352566
353,mundri,-6.9558,111.71,31.05,59,91,2.87,ID,1702352566
354,umm ruwaba,12.9061,31.2158,21.23,16,97,4.09,SD,1702352566
355,isla vista,34.4133,-119.861,17.13,60,0,1.54,US,1702352567
356,chornobay,49.6708,32.3239,1.68,99,100,3.13,UA,1702352567
357,daokou,35.5639,114.5058,-0.89,84,6,0.94,CN,1702352567
